id,tail,head
512,10665,216
513,216,2176
514,216,9543
515,9552,216
516,216,217
517,217,218
518,217,2156
519,217,2155
520,218,219
521,218,2177
522,219,1255
523,219,220
524,220,221
525,220,2178
526,221,2164
527,221,222
528,222,2169
529,222,223
530,223,2171
531,223,224
532,224,1217
533,224,2172
534,1223,224
535,225,226
536,2149,225
537,225,10673
538,226,227
539,226,2149
540,226,2150
541,227,10670
542,227,232
543,227,228
544,10671,228
545,228,229
546,228,231
547,230,229
548,229,10672
549,230,231
550,26906,230
551,231,26907
552,231,232
553,232,18791
554,233,2124
555,233,234
556,235,236
557,236,2137
558,236,244
559,237,238
560,237,521
561,237,2139
562,238,239
563,238,241
564,239,240
565,239,2146
566,240,2143
567,240,244
568,240,520
569,520,241
570,241,521
571,242,308
572,242,243
573,243,20895
574,243,244
575,244,2140
576,245,721
577,245,246
578,245,449
579,245,702
580,246,732
581,246,247
582,247,782
583,19388,247
584,247,248
585,247,768
586,248,249
587,248,6771
588,249,659
589,249,250
590,250,734
591,250,735
592,250,14370
593,251,3694
594,251,3859
595,251,3668
596,252,253
597,252,1066
598,252,22124
599,22127,252
600,26545,252
601,253,254
602,253,1124
603,254,22132
604,254,255
605,255,256
606,255,14167
607,256,257
608,22122,256
609,256,14167
610,1121,257
611,257,443
612,20793,258
613,258,259
614,258,22131
615,259,260
616,259,2977
617,260,444
618,260,261
619,261,446
620,20904,262
621,262,20905
622,262,263
623,1111,263
624,263,9498
625,263,264
626,264,265
627,264,1047
628,265,1048
629,265,266
630,266,1050
631,266,267
632,267,268
633,267,1042
634,268,1017
635,268,269
636,20926,269
637,269,270
638,270,271
639,270,20927
640,271,272
641,11954,271
642,271,11955
643,272,273
644,272,1018
645,273,274
646,273,1036
647,274,27684
648,274,275
649,275,1035
650,275,1015
651,275,276
652,276,1039
653,276,277
654,277,278
655,277,282
656,278,1016
657,26539,278
658,279,280
659,20798,279
660,279,20799
661,280,281
662,280,6904
663,281,1039
664,281,282
665,281,6905
666,282,925
667,283,307
668,283,524
669,283,284
670,284,20788
671,284,20867
672,12037,285
673,285,286
674,285,288
675,285,294
676,20787,285
677,286,287
678,286,19939
679,287,296
680,287,20898
681,288,289
682,307,288
683,289,423
684,289,290
685,290,2321
686,290,291
687,291,292
688,291,521
689,292,520
690,292,293
691,293,2326
692,293,9504
693,293,9501
694,294,20788
695,294,295
696,522,294
697,522,295
698,295,523
699,296,2291
700,297,4720
701,297,298
702,298,2290
703,298,299
704,298,2360
705,299,300
706,20870,299
707,299,5916
708,3089,300
709,300,301
710,300,20870
711,301,2295
712,302,303
713,302,1571
714,302,11147
715,303,1573
716,303,304
717,304,305
718,304,4471
719,305,1577
720,305,306
721,306,1560
722,306,3221
723,10384,307
724,308,2143
725,309,310
726,2258,309
727,309,9514
728,310,655
729,9778,310
730,311,312
731,311,745
732,312,26630
733,313,18138
734,313,314
735,314,315
736,314,24489
737,315,18816
738,315,316
739,316,358
740,316,357
741,317,318
742,317,328
743,317,337
744,318,319
745,318,320
746,319,10745
747,319,2215
748,323,320
749,320,321
750,321,322
751,26606,321
752,321,326
753,322,326
754,322,18814
755,323,324
756,26606,323
757,324,330
758,324,325
759,10745,324
760,329,325
761,325,10751
762,326,327
763,327,328
764,327,2210
765,328,338
766,10750,329
767,329,330
768,330,10364
769,330,10746
770,331,332
771,331,1541
772,335,331
773,331,14867
774,332,11145
775,332,333
776,335,333
777,333,1598
778,334,4653
779,334,6045
780,334,11597
781,14548,335
782,336,354
783,336,2209
784,336,337
785,337,356
786,337,18812
787,338,2210
788,338,18812
789,339,340
790,339,2819
791,339,2820
792,340,2825
793,340,341
794,341,2763
795,341,342
796,342,10659
797,342,2761
798,342,2767
799,343,349
800,2863,343
801,343,344
802,344,2873
803,344,345
804,345,2872
805,345,346
806,346,347
807,346,2871
808,347,348
809,347,2868
810,348,2874
811,348,18079
812,349,350
813,349,2852
814,350,26608
815,350,351
816,351,352
817,352,18785
818,353,354
819,353,441
820,353,18813
821,353,434
822,354,355
823,355,356
824,355,2213
825,356,357
826,356,2212
827,357,18812
828,358,18815
829,358,359
830,359,360
831,359,26660
832,360,361
833,360,2210
834,18814,361
835,361,2207
836,362,2805
837,362,363
838,362,2761
839,363,2758
840,363,364
841,364,365
842,364,2749
843,365,2756
844,365,2733
845,370,366
846,366,27197
847,366,367
848,367,372
849,27197,367
850,27201,368
851,368,369
852,368,3232
853,10746,369
854,369,370
855,370,9541
856,371,372
857,2203,371
858,2201,371
859,372,27201
860,373,27201
861,373,27666
862,373,27666
863,374,408
864,374,375
865,374,392
866,375,376
867,375,392
868,376,5778
869,376,377
870,377,378
871,377,27675
872,378,3089
873,378,27675
874,379,10766
875,379,380
876,379,19920
877,380,381
878,380,19908
879,381,382
880,381,19921
881,382,19922
882,382,383
883,382,10770
884,383,431
885,383,430
886,27701,384
887,384,385
888,384,26565
889,11485,385
890,385,26555
891,385,386
892,402,386
893,386,26560
894,386,387
895,14716,387
896,387,14717
897,388,389
898,388,10382
899,389,390
900,10382,389
901,390,3089
902,390,391
903,391,5774
904,391,5778
905,391,10377
906,392,393
907,393,394
908,393,5918
909,394,395
910,394,408
911,395,409
912,395,396
913,396,397
914,26559,396
915,396,26564
916,398,397
917,397,11302
918,11315,398
919,398,399
920,399,19905
921,399,400
922,400,503
923,400,24156
924,400,401
925,503,401
926,401,1083
927,402,403
928,27700,402
929,403,404
930,403,27680
931,1084,405
932,405,26586
933,405,406
934,406,407
935,406,432
936,407,3093
937,407,432
938,408,409
939,409,410
940,5779,410
941,410,26553
942,14717,410
943,410,27779
944,411,1107
945,11266,411
946,411,412
947,412,6786
948,412,413
949,413,6788
950,413,414
951,414,6263
952,414,415
953,414,6785
954,415,416
955,415,5935
956,416,417
957,416,5941
958,417,418
959,417,5941
960,417,19131
961,417,5942
962,418,419
963,418,6823
964,419,420
965,419,6830
966,420,421
967,420,7916
968,421,3680
969,421,422
970,422,6844
971,13452,422
972,521,423
973,423,2129
974,423,522
975,424,2134
976,424,2129
977,424,425
978,425,426
979,425,2130
980,426,2132
981,426,427
982,427,2132
983,427,9471
984,6332,428
985,428,2986
986,428,13781
987,429,433
988,429,430
989,429,19932
990,430,10770
991,431,432
992,431,19922
993,19631,432
994,433,19918
995,433,19933
996,434,435
997,434,2222
998,434,2220
999,435,809
1000,435,2216
1001,436,2694
1002,436,437
1003,10747,436
1004,436,19694
1005,2385,437
1006,437,2645
1007,437,438
1008,438,809
1009,438,439
1010,438,808
1011,439,2220
1012,439,440
1013,440,441
1014,440,2220
1015,441,2371
1016,442,443
1017,6126,442
1018,442,22121
1019,443,6127
1020,444,2977
1021,444,445
1022,446,445
1023,445,447
1024,447,2959
1025,447,448
1026,448,2980
1027,448,6126
1028,449,724
1029,449,450
1030,450,725
1031,450,451
1032,451,685
1033,451,701
1034,451,452
1035,452,453
1036,452,684
1037,453,454
1038,453,692
1039,454,683
1040,454,6057
1041,454,692
1042,3179,455
1043,455,456
1044,455,19381
1045,456,457
1046,456,776
1047,456,757
1048,457,781
1049,457,458
1050,14370,457
1051,458,19385
1052,6766,458
1053,458,15769
1054,459,845
1055,459,462
1056,459,460
1057,22225,460
1058,460,26549
1059,461,464
1060,848,461
1061,461,462
1062,462,22202
1063,463,464
1064,463,22201
1065,463,22202
1066,464,468
1067,22198,465
1068,465,469
1069,465,6774
1070,465,466
1071,468,466
1072,466,21974
1073,466,467
1074,467,470
1075,467,468
1076,468,469
1077,469,828
1078,469,832
1079,470,22201
1080,470,22200
1081,858,471
1082,471,19648
1083,471,472
1084,472,26881
1085,3223,472
1086,473,474
1087,852,473
1088,473,848
1089,474,475
1090,474,477
1091,474,493
1092,475,476
1093,475,478
1094,476,496
1095,476,479
1096,477,847
1097,477,478
1098,478,846
1099,478,479
1100,479,480
1101,480,481
1102,480,490
1103,481,482
1104,481,487
1105,482,488
1106,492,482
1107,483,484
1108,485,483
1109,483,849
1110,484,491
1111,484,486
1112,488,485
1113,485,486
1114,486,487
1115,487,488
1116,489,845
1117,489,490
1118,844,489
1119,490,492
1120,491,849
1121,491,855
1122,844,492
1123,493,494
1124,493,853
1125,494,23542
1126,494,495
1127,495,496
1128,495,854
1129,496,855
1130,531,497
1131,497,499
1132,497,498
1133,533,497
1134,498,535
1135,498,499
1136,499,11733
1137,499,530
1138,500,27703
1139,9959,500
1140,26555,500
1141,500,501
1142,501,502
1143,501,27704
1144,502,27704
1145,502,503
1146,503,3094
1147,504,505
1148,20887,504
1149,504,20888
1150,505,1262
1151,505,506
1152,21971,505
1153,506,507
1154,506,517
1155,507,13772
1156,507,508
1157,508,509
1158,508,1269
1159,509,27439
1160,509,510
1161,510,2120
1162,510,511
1163,511,512
1164,511,2123
1165,512,2115
1166,512,2122
1167,512,2123
1168,513,13783
1169,513,517
1170,514,1982
1171,514,2116
1172,20889,515
1173,10398,515
1174,515,19930
1175,515,516
1176,516,20889
1177,516,518
1178,516,21971
1179,21970,516
1180,517,1270
1181,518,21970
1182,518,24480
1183,518,13784
1184,10765,519
1185,519,520
1186,523,10161
1187,523,524
1188,524,9471
1189,525,7425
1190,7432,525
1191,526,8278
1192,526,527
1193,527,528
1194,527,8280
1195,527,8276
1196,528,529
1197,528,8274
1198,529,8268
1199,529,8638
1200,11735,530
1201,530,531
1202,531,11736
1203,13853,532
1204,532,533
1205,532,11734
1206,533,18253
1207,13444,534
1208,534,11736
1209,534,11735
1210,535,545
1211,535,566
1212,536,537
1213,536,20864
1214,536,539
1215,537,538
1216,537,24620
1217,539,13404
1218,539,540
1219,540,541
1220,540,24549
1221,541,24550
1222,541,542
1223,542,24535
1224,542,543
1225,543,544
1226,543,24628
1227,544,10629
1228,544,10625
1229,545,546
1230,545,567
1231,546,571
1232,546,547
1233,547,569
1234,547,548
1235,548,572
1236,548,549
1237,549,550
1238,549,26092
1239,550,26092
1240,550,551
1241,551,552
1242,551,561
1243,552,553
1244,552,26107
1245,553,10616
1246,553,13404
1247,553,20938
1248,554,555
1249,554,564
1250,554,1156
1251,555,1156
1252,555,1157
1253,556,557
1254,556,558
1255,556,562
1256,557,559
1257,557,569
1258,558,559
1259,558,1161
1260,559,560
1261,560,26078
1262,560,26092
1263,560,561
1264,561,26113
1265,562,563
1266,562,570
1267,563,564
1268,563,565
1269,564,1642
1270,565,567
1271,565,568
1272,565,566
1273,566,1155
1274,567,570
1275,569,571
1276,570,571
1277,573,574
1278,19678,573
1279,573,615
1280,574,10138
1281,574,575
1282,1895,574
1283,575,576
1284,575,10955
1285,575,10956
1286,576,10931
1287,576,577
1288,576,1898
1289,577,10959
1290,577,578
1291,577,1899
1292,578,579
1293,578,1900
1294,579,1901
1295,579,10932
1296,579,580
1297,580,1902
1298,580,581
1299,581,582
1300,581,1904
1301,581,1908
1302,582,583
1303,582,1910
1304,582,1905
1305,583,584
1306,583,1906
1307,583,10934
1308,584,11153
1309,584,585
1310,585,586
1311,585,1907
1312,586,11153
1313,586,587
1314,587,10947
1315,587,18160
1316,588,591
1317,592,588
1318,588,10680
1319,597,589
1320,589,590
1321,589,11173
1322,590,625
1323,590,591
1324,10679,590
1325,591,1895
1326,591,1892
1327,10653,592
1328,592,593
1329,593,594
1330,593,20981
1331,594,11168
1332,594,595
1333,595,596
1334,596,598
1335,596,597
1336,10139,597
1337,598,11169
1338,598,10139
1339,599,600
1340,600,607
1341,600,601
1342,600,611
1343,601,608
1344,601,602
1345,601,616
1346,602,619
1347,602,623
1348,602,609
1349,603,610
1350,603,604
1351,603,605
1352,604,608
1353,604,607
1354,605,618
1355,605,606
1356,606,608
1357,606,609
1358,607,610
1359,609,618
1360,609,626
1361,610,19678
1362,611,612
1363,611,615
1364,611,616
1365,612,625
1366,612,624
1367,612,613
1368,613,614
1369,613,624
1370,614,617
1371,614,12084
1372,615,625
1373,616,617
1374,616,624
1375,617,12082
1376,617,620
1377,618,626
1378,619,620
1379,619,623
1380,620,621
1381,621,622
1382,621,623
1383,621,12082
1384,626,3168
1385,627,628
1386,627,5775
1387,627,5774
1388,628,629
1389,628,11481
1390,628,5775
1391,629,10389
1392,629,5772
1393,630,631
1394,630,9478
1395,630,9479
1396,630,18057
1397,631,2272
1398,2234,631
1399,632,639
1400,632,9509
1401,632,633
1402,633,634
1403,633,635
1404,634,21554
1405,634,656
1406,635,637
1407,635,638
1408,636,711
1409,636,637
1410,636,654
1411,637,639
1412,638,21554
1413,639,2228
1414,639,654
1415,640,641
1416,19633,640
1417,640,800
1418,641,642
1419,641,747
1420,642,750
1421,642,643
1422,642,799
1423,643,751
1424,643,644
1425,643,679
1426,645,646
1427,645,26526
1428,645,786
1429,646,647
1430,646,9786
1431,647,648
1432,647,9783
1433,647,9785
1434,648,649
1435,648,798
1436,648,680
1437,649,773
1438,649,774
1439,650,18079
1440,650,696
1441,650,651
1442,651,652
1443,651,695
1444,652,653
1445,652,9781
1446,653,654
1447,653,18055
1448,655,656
1449,656,9512
1450,657,658
1451,657,15769
1452,14375,657
1453,657,19382
1454,658,659
1455,658,670
1456,735,659
1457,659,19388
1458,660,677
1459,2251,660
1460,660,661
1461,661,2240
1462,661,662
1463,662,2254
1464,662,678
1465,662,663
1466,663,664
1467,663,2253
1468,664,665
1469,664,2252
1470,665,666
1471,665,671
1472,666,2256
1473,666,2242
1474,667,14375
1475,667,668
1476,667,14374
1477,668,26637
1478,668,669
1479,669,26634
1480,669,670
1481,670,20120
1482,671,2278
1483,671,14126
1484,671,2277
1485,672,770
1486,672,771
1487,672,673
1488,673,674
1489,673,813
1490,674,675
1491,674,688
1492,675,682
1493,675,676
1494,677,678
1495,677,2239
1496,678,2239
1497,680,699
1498,680,681
1499,682,813
1500,682,799
1501,683,684
1502,683,687
1503,684,686
1504,685,723
1505,685,686
1506,685,11489
1507,686,687
1508,687,11489
1509,688,769
1510,688,14372
1511,689,801
1512,689,690
1513,689,704
1514,690,705
1515,690,691
1516,691,706
1517,691,792
1518,692,700
1519,693,694
1520,693,696
1521,693,703
1522,694,796
1523,694,797
1524,695,797
1525,695,696
1526,697,698
1527,697,710
1528,697,711
1529,699,706
1530,699,793
1531,700,703
1532,700,701
1533,701,790
1534,701,702
1535,702,704
1536,703,9789
1537,704,705
1538,704,802
1539,705,706
1540,707,9928
1541,707,9929
1542,707,708
1543,708,2232
1544,708,709
1545,709,2232
1546,709,2230
1547,710,712
1548,710,713
1549,711,9791
1550,712,26526
1551,712,9791
1552,713,9781
1553,713,795
1554,713,786
1555,714,720
1556,714,12214
1557,714,715
1558,715,720
1559,715,716
1560,716,717
1561,716,727
1562,717,728
1563,717,718
1564,718,719
1565,718,726
1566,719,723
1567,719,722
1568,720,11489
1569,720,727
1570,721,722
1571,721,728
1572,722,724
1573,723,725
1574,723,726
1575,724,725
1576,726,727
1577,728,6772
1578,729,730
1579,729,730
1580,729,783
1581,730,782
1582,731,732
1583,731,737
1584,731,782
1585,732,784
1586,733,783
1587,733,734
1588,738,733
1589,733,14371
1590,734,739
1591,15769,735
1592,736,785
1593,736,737
1594,736,784
1595,737,785
1596,738,739
1597,767,738
1598,739,767
1599,740,741
1600,740,743
1601,740,744
1602,741,742
1603,741,6761
1604,743,26629
1605,743,26630
1606,744,6761
1607,745,746
1608,747,752
1609,748,749
1610,748,751
1611,749,752
1612,750,751
1613,750,752
1614,19385,753
1615,753,19386
1616,753,754
1617,754,755
1618,754,756
1619,19387,755
1620,755,19380
1621,757,777
1622,757,758
1623,758,780
1624,758,779
1625,759,765
1626,766,759
1627,759,19384
1628,760,776
1629,760,6770
1630,760,6769
1631,761,811
1632,761,812
1633,761,762
1634,762,812
1635,762,6769
1636,763,810
1637,763,764
1638,763,765
1639,764,766
1640,19383,764
1641,765,766
1642,14370,767
1643,768,769
1644,768,801
1645,769,770
1646,770,791
1647,771,772
1648,771,792
1649,772,773
1650,772,813
1651,772,27685
1652,773,27686
1653,774,6763
1654,775,776
1655,776,777
1656,777,778
1657,778,779
1658,778,15865
1659,779,780
1660,780,15863
1661,780,781
1662,781,19383
1663,783,21601
1664,784,785
1665,786,787
1666,786,9780
1667,787,794
1668,787,788
1669,787,795
1670,788,789
1671,788,27699
1672,789,790
1673,789,9798
1674,790,802
1675,790,9789
1676,791,801
1677,791,792
1678,793,794
1679,793,9796
1680,794,9797
1681,795,796
1682,796,9787
1683,797,9781
1684,798,9785
1685,799,800
1686,800,14375
1687,802,9799
1688,2334,803
1689,803,804
1690,803,2389
1691,803,2366
1692,804,805
1693,804,2284
1694,804,2285
1695,805,806
1696,805,2390
1697,806,2380
1698,806,807
1699,807,808
1700,807,26643
1701,808,18811
1702,809,10749
1703,809,2645
1704,810,811
1705,810,6770
1706,811,6767
1707,812,6767
1708,813,26661
1709,814,815
1710,814,823
1711,814,22210
1712,815,816
1713,815,843
1714,816,819
1715,816,817
1716,817,17112
1717,817,843
1718,818,819
1719,818,22242
1720,818,22243
1721,819,860
1722,820,834
1723,820,821
1724,820,22206
1725,821,827
1726,821,838
1727,822,973
1728,822,823
1729,822,837
1730,823,843
1731,823,838
1732,824,829
1733,824,830
1734,824,825
1735,825,835
1736,825,972
1737,826,827
1738,826,834
1739,826,829
1740,827,835
1741,828,833
1742,828,829
1743,830,831
1744,830,22244
1745,831,10168
1746,831,832
1747,832,22245
1748,833,834
1749,833,6773
1750,835,836
1751,836,972
1752,836,837
1753,837,838
1754,839,841
1755,839,842
1756,839,840
1757,841,26535
1758,841,972
1759,22245,842
1760,842,26535
1761,844,1105
1762,26549,844
1763,845,846
1764,846,847
1765,847,848
1766,848,22245
1767,849,19652
1768,850,1104
1769,850,851
1770,851,6869
1771,851,866
1772,852,853
1773,852,3222
1774,853,854
1775,853,26882
1776,854,855
1777,855,6713
1778,856,857
1779,856,3230
1780,857,858
1781,857,3230
1782,858,859
1783,20924,859
1784,859,1577
1785,860,14329
1786,22210,860
1787,861,3690
1788,861,3691
1789,861,862
1790,862,1558
1791,862,863
1792,862,1557
1793,863,1106
1794,863,3698
1795,863,6042
1796,864,865
1797,865,866
1798,865,872
1799,866,873
1800,867,868
1801,868,869
1802,868,870
1803,868,871
1804,869,6048
1805,869,875
1806,869,874
1807,869,870
1808,870,6042
1809,871,874
1810,871,872
1811,872,873
1812,873,874
1813,875,6711
1814,875,876
1815,876,879
1816,876,877
1817,877,880
1818,877,878
1819,878,3218
1820,878,26890
1821,879,881
1822,879,6711
1823,880,881
1824,880,3219
1825,881,3219
1826,882,883
1827,883,887
1828,883,1105
1829,884,885
1830,885,887
1831,885,886
1832,6714,886
1833,886,6715
1834,887,1104
1835,888,889
1836,889,6715
1837,889,890
1838,890,6716
1839,890,891
1840,891,894
1841,891,895
1842,891,892
1843,892,893
1844,892,896
1845,896,6717
1846,6716,896
1847,897,898
1848,898,911
1849,898,899
1850,899,900
1851,899,915
1852,900,901
1853,900,928
1854,901,902
1855,901,927
1856,902,903
1857,902,916
1858,903,917
1859,903,904
1860,904,919
1861,904,905
1862,905,919
1863,905,906
1864,906,907
1865,906,920
1866,907,908
1867,907,921
1868,908,1108
1869,908,909
1870,909,923
1871,909,910
1872,910,987
1873,910,11264
1874,911,912
1875,911,929
1876,912,913
1877,912,915
1878,913,914
1879,26547,913
1880,914,6900
1881,914,915
1882,915,928
1883,916,6901
1884,916,19240
1885,917,918
1886,6901,917
1887,918,919
1888,918,920
1889,920,921
1890,921,1108
1891,922,923
1892,1108,922
1893,922,6902
1894,923,924
1895,6902,924
1896,924,6903
1897,925,26539
1898,6904,925
1899,926,927
1900,927,928
1901,930,936
1902,930,945
1903,930,931
1904,931,932
1905,931,947
1906,932,933
1907,932,948
1908,933,26549
1909,949,933
1910,933,22247
1911,934,20912
1912,934,958
1913,980,934
1914,935,937
1915,935,936
1916,935,6775
1917,936,22246
1918,937,6776
1919,937,938
1920,938,945
1921,938,939
1922,939,940
1923,939,981
1924,940,941
1925,940,10150
1926,941,942
1927,941,982
1928,942,943
1929,942,5923
1930,942,5924
1931,943,1022
1932,943,1023
1933,943,944
1934,944,1019
1935,944,1041
1936,945,946
1937,946,981
1938,946,947
1939,947,948
1940,947,950
1941,948,949
1942,948,953
1943,984,949
1944,950,951
1945,950,952
1946,950,953
1947,951,957
1948,951,1012
1949,952,981
1950,952,982
1951,953,957
1952,953,954
1953,954,984
1954,5922,954
1955,954,955
1956,955,956
1957,985,955
1958,955,6901
1959,957,5922
1960,958,22207
1961,958,959
1962,959,980
1963,959,960
1964,960,977
1965,960,14332
1966,960,14333
1967,961,962
1968,963,961
1969,961,20925
1970,962,14725
1971,962,20905
1972,963,964
1973,965,963
1974,964,14725
1975,964,1118
1976,965,966
1977,967,965
1978,1081,967
1979,967,968
1980,969,22253
1981,969,1118
1982,969,970
1983,970,1117
1984,970,971
1985,972,22244
1986,973,22210
1987,14330,974
1988,974,22231
1989,974,975
1990,975,22248
1991,975,976
1992,976,977
1993,976,14332
1994,977,978
1995,978,1119
1996,978,979
1997,979,22253
1998,979,14333
1999,20918,980
2000,982,5923
2001,983,26889
2002,983,985
2003,6900,983
2004,984,985
2005,985,986
2006,987,1001
2007,987,988
2008,988,989
2009,988,27422
2010,989,990
2011,989,22134
